📅 Fecha,📌 Código Producto,📝 Descripción,➕ Cantidad,🏭 Proveedor / Origen,🔖 Lote,⏰ Fecha Vencimiento,👤 Responsable,,,,
2025-01-24,CAPG-001,Café pergamino,287.9,,L2025-01-P00,,Daniel,,,,2424.2
2025-01-07,CAFV-001,Café Verde,70,,L2025-01-V00,,Daniel,,,,
2025-02-03,CAPG-001,Café pergamino,103.8,,L2025-02-P00,,Daniel,,,,
2025-02-24,CAFV-001,Café Verde,56.8,,L2025-02-V00,,Daniel,,,,
2025-02-26,CAFV-001,Café Verde,418.4,,L2025-02-V01,,Daniel,,,,
2025-03-07,CAPG-001,Café pergamino,89.5,,L2025-03-P00,,Daniel,,,,
2025-05-02,CAPG-001,Café pergamino,124,,L2025-05-P00,,Daniel,,,,
2025-05-08,CAPG-001,Café pergamino,70,,L2025-05-P01,,Daniel,,,,
2025-07-03,CAPG-001,Café pergamino,395.3,,L2025-07-P00,,Daniel,,,,
2025-07-10,CAPG-001,Café pergamino,215,,L2025-07-P01,,Daniel,,,,
2025-07-18,CAPG-001,Café pergamino,251.3,,L2025-07-P02,,Daniel,,,,
2025-08-08,CAPG-001,Café pergamino,322,,L2025-08-P00,,Daniel,,,,
2025-08-11,CAFV-001,Café Verde,0,Amarella,L2025-08-V,,Daniel,,,,
2025-08-12,EMP-BOLSA,Bolsa Empaque,500,Proveedor XYZ,,,Laura,,,,
2025-08-12,ETQ-CAFE,Etiqueta Café,500,Proveedor XYZ,,,Laura,,,,
2025-08-13,STK-AMT,Stickers Amantti,200,Proveedor XYZ,,,Laura,,,,
2025-08-13,POC-001,Pocillo,63,IKEA,,,Laura,,,545.2,
2025-08-19,CAPG-001,Café pergamino,280.4,Amarella,L2025-08-P00,,Laura,,,,
2025-09-10,CAPG-001,Café pergamino,98,Daniel Ospina,L2025-09-P00,,Daniel Ospina,,,,
2025-09-10,CAPG-001,Café pergamino,285,Daniel Ospina,L2025-09-P01,,Daniel Ospina,,,,
2025-10-10,CAPG-001,Café pergamino,374,Daniel Ospina,L2025-10-P01,,Daniel Ospina,,,,
2025-11-11,CAPG-001,Café pergamino,250.8,Daniel Ospina,L2025-11-P00,,Daniel Ospina,,,,
