📅 Fecha,📌 Código,📝 Descripción,➕ Cantidad KG/ Bolsa,🔖 Lote PT,⏰ Fecha Vencimiento PT,👤 Responsable
2025-01-20,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),10,L2025-01-T0,2026-01-20,Amarella
2025-01-20,EMP-BOLSA,Bolsa Empaque,10,,,
2025-01-24,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),24,L2025-01-T1,2026-01-28,Amarella
2025-01-24,EMP-BOLSA,Bolsa Empaque,24,,,
2025-01-31,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),19,L2025-01-T2,2026-01-28,Amarella
2025-01-31,EMP-BOLSA,Bolsa Empaque,19,,,
2025-02-12,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),24,L2025-02-T0,2026-02-12,Amarella
2025-02-12,EMP-BOLSA,Bolsa Empaque,24,,,
2025-02-28,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),24,L2025-02-T1,2026-02-28,Amarella
2025-02-28,EMP-BOLSA,Bolsa Empaque,24,,,
2025-03-05,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),24,L2025-03-T0,2026-03-05,Amarella
2025-03-05,EMP-BOLSA,Bolsa Empaque,24,,,
2025-03-14,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),38,L2025-03-T1,2026-03-14,Amarella
2025-03-14,EMP-BOLSA,Bolsa Empaque,38,,,
2025-04-04,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),38,L2025-04-T0,2026-04-04,Amarella
2025-04-04,EMP-BOLSA,Bolsa Empaque,38,,,
2025-04-16,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),28,L2025-04-T1,2026-04-16,Amarella
2025-04-16,EMP-BOLSA,Bolsa Empaque,28,,,
2025-05-07,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),14,L2025-05-T0,2026-05-14,Amarella
2025-05-07,EMP-BOLSA,Bolsa Empaque,14,,,
2025-05-09,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),19,L2025-05-T1,2026-05-14,Amarella
2025-05-09,EMP-BOLSA,Bolsa Empaque,19,,,
2025-05-14,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),4,L2025-05-T1,2026-05-14,Luces del cielo
2025-05-14,EMP-BOLSA,Bolsa Empaque,1,,,
2025-05-15,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),24,L2025-05-T2,2026-05-14,Amarella
2025-05-15,EMP-BOLSA,Bolsa Empaque,24,,,
2025-05-28,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),18,L2025-05-T3,2026-05-28,Luces del cielo
2025-05-28,EMP-BOLSA,Bolsa Empaque,7,,,
2025-06-06,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),19,L2025-06-T0,2026-06-06,Amarella
2025-06-06,EMP-BOLSA,Bolsa Empaque,19,,,
2025-06-16,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),28,L2025-06-T1,2026-06-16,Amarella
2025-06-16,EMP-BOLSA,Bolsa Empaque,28,,,
2025-06-24,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),19,L2025-06-T2,2026-06-24,Amarella
2025-06-24,EMP-BOLSA,Bolsa Empaque,19,,,
2025-07-04,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),24,L2025-07-T0,2026-07-04,Amarella
2025-07-04,EMP-BOLSA,Bolsa Empaque,24,,,
2025-07-14,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),9,L2025-07-T1,2026-07-14,Amarella
2025-07-14,EMP-BOLSA,Bolsa Empaque,9,,,
2025-07-17,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),28,L2025-07-T2,2026-07-17,Amarella
2025-07-17,EMP-BOLSA,Bolsa Empaque,28,,,
2025-07-25,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),33,L2025-07-T3,2026-07-25,Amarella
2025-07-25,EMP-BOLSA,Bolsa Empaque,33,,,
2025-08-06,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),33,L2025-08-T0,2026-08-06,Amarella
2025-08-06,EMP-BOLSA,Bolsa Empaque,33,,,
2025-08-14,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),33,L2025-08-T1,2026-08-14,Amarella
2025-08-14,EMP-BOLSA,Bolsa Empaque,33,,,
2025-08-20,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),28,L2025-08-T2,2026-08-20,Amarella
2025-08-20,EMP-BOLSA,Bolsa Empaque,28,,,
2025-08-27,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),36,L2025-08-T3,2026-08-27,Amarella
2025-08-20,EMP-BOLSA,Bolsa Empaque,36,,,
2025-09-04,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),22,L2025-09-T0,2026-09-04,Amarella
2025-09-04,EMP-BOLSA,Bolsa Empaque,22,,,
2025-09-17,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),38,,2026-09-17,
2025-09-17,EMP-BOLSA,Bolsa Empaque,38,,,
2025-09-25,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),38,L2025-09-T1,2026-09-27,
2025-09-25,EMP-BOLSA,Bolsa Empaque,38,,,
2025-10-06,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),12,L2025-09-T2,2026-10-06,
2025-10-06,EMP-BOLSA,Bolsa Empaque,12,,,
2025-10-16,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),38,L2025-10-T0,2026-10-16,
2025-10-16,EMP-BOLSA,Bolsa Empaque,38,,,
2025-10-16,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),33,L2025-10-T1,2026-10-24,
2025-10-16,EMP-BOLSA,Bolsa Empaque,33,,,
2025-10-31,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),38,L2025-10-T2,2026-10-31,
2025-10-31,EMP-BOLSA,Bolsa Empaque,38,,,
2025-11-07,CAFT-2K5,Café Tostado 2.5kg (Grano/Molido),9,L2025-11-T0,2026-11-10,
2025-11-07,EMP-BOLSA,Bolsa Empaque,9,,,
