📅 Fecha,📌 Código,📝 Descripción,➖ Cantidad KG,🧾 Tipo Consumo (MP/MAT),👤 Responsable,,,,,,
2025-01-10,CAFV-001,Café Verde,12,MP,,,,,,,
2025-01-10,EMP-BOLSA,Bolsa Empaque,4,MAT,,,,,,,
2025-01-10,ETQ-CAFE,Etiqueta Café,4,MAT,,,,,,,
2025-01-20,CAFV-001,Café Verde,24,MP,Daniel,,,,,,
2025-01-20,EMP-BOLSA,Bolsa Empaque,10,MAT,Daniel,,,,,,
2025-01-20,ETQ-CAFE,Etiqueta Café,10,MAT,Daniel,,,,,,
2025-01-24,CAFV-001,Café Verde,60,MP,,,,,,,
2025-01-24,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-01-24,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-01-31,CAFV-001,Café Verde,48,MP,,,,,,,
2025-01-31,EMP-BOLSA,Bolsa Empaque,19,MAT,,,,,,,2413
2025-01-31,ETQ-CAFE,Etiqueta Café,19,MAT,,,,,,,
2025-02-12,CAFV-001,Café Verde,60,MP,,,,,,,
2025-02-12,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-02-12,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-02-28,CAFV-001,Café Verde,60,MP,,,,,,,
2025-02-28,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-02-28,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-03-05,CAFV-001,Café Verde,60,MP,,,,,,,
2025-03-05,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-03-05,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-03-14,CAFV-001,Café Verde,96,MP,,,,,,,
2025-03-14,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-03-14,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-03-20,CAFV-001,Café Verde,90,MP,,,,,,,
2025-03-20,EMP-BOLSA,Bolsa Empaque,36,MAT,,,,,,,
2025-03-20,ETQ-CAFE,Etiqueta Café,36,MAT,,,,,,,
2025-03-28,CAFV-001,Café Verde,72,MP,,,,,,,
2025-03-28,EMP-BOLSA,Bolsa Empaque,29,MAT,,,,,,,
2025-03-28,ETQ-CAFE,Etiqueta Café,29,MAT,,,,,,,
2025-04-04,CAFV-001,Café Verde,96,MP,,,,,,,
2025-04-04,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-04-04,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-04-16,CAFV-001,Café Verde,72,MP,,,,,,,
2025-04-16,EMP-BOLSA,Bolsa Empaque,29,MAT,,,,,,,
2025-04-16,ETQ-CAFE,Etiqueta Café,29,MAT,,,,,,,
2025-05-07,CAFV-001,Café Verde,36,MP,,,,,,,
2025-05-07,EMP-BOLSA,Bolsa Empaque,14,MAT,,,,,,,
2025-05-07,ETQ-CAFE,Etiqueta Café,14,MAT,,,,,,,
2025-05-09,CAFV-001,Café Verde,48,MP,,,,,,,
