📅 Fecha,📌 Código Entrada (Pergamino),📝 Desc Entrada,➖ Cantidad Entrada (kg),🔧 Rendimiento Trilla (%),📌 Código Salida (Café Verde),📝 Desc Salida,➕ Cantidad Salida (kg) (auto),📦 Subproducto Código,➕ Subproducto Cantidad (kg) (auto),🔖 Lote Salida,⏰ Vencimiento,👤 Responsable
2025-01-22,CAPG-001,Café Pergamino,287.9,0.735,CAFV-001,Café Verde,211.6065,,,,,
2025-02-04,CAPG-001,Café Pergamino,103.8,0.735,CAFV-001,Café Verde,76.293,,,,,
2025-03-14,CAPG-001,Café Pergamino,89.5,0.735,CAFV-001,Café Verde,65.7825,,,,,
2025-05-09,CAPG-001,Café Pergamino,84.6,0.735,CAFV-001,Café Verde,62.181,,,,,
2025-05-14,CAPG-001,Café Pergamino,52,0.735,CAFV-001,Café Verde,38.22,,,,,
2025-05-28,CAPG-001,Café Pergamino,69,0.735,CAFV-001,Café Verde,50.715,,,,,
2025-06-06,CAPG-001,Café Pergamino,390.9,0.735,CAFV-001,Café Verde,287.3115,,,,,
2025-07-17,CAPG-001,Café Pergamino,215.9,0.735,CAFV-001,Café Verde,158.6865,,,,,
2025-07-25,CAPG-001,Café Pergamino,251.3,0.735,CAFV-001,Café Verde,184.7055,,,,,
2025-08-14,CAPG-001,Café Pergamino,322,0.735,CAFV-001,Café Verde,236.67,,,,,
2025-08-20,CAPG-001,Café Pergamino,280.4,0.735,CAFV-001,Café Verde,206.094,,,,,
2025-09-10,CAPG-001,Café Pergamino,98,0.735,CAFV-001,Café Verde,72.03,,,,,
2025-09-10,CAPG-001,Café Pergamino,285,0.735,CAFV-001,Café Verde,209.475,,,,,
2025-10-10,CAPG-001,Café Pergamino,374,0.735,CAFV-001,Café Verde,274.89,,,,,
2025-11-13,CAPG-001,Café Pergamino,250.8,0.735,CAFV-001,Café Verde,184.338,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,1650.2955,,,,
,,,,,,,,2318.9985,,,,
